title,source,link,published_dt,summary_clean,text_all,topics,iso3,sentiment,source_class,item_score
"Apple M5 chip smashes Snapdragon X2 Elite in early single-thread benchmarks — single core scores rival Intel's Core Ultra 9 285K and beat AMD's 9950X3D, teasing multi-core potential of future variants - Tom's Hardware",Tom's Hardware,https://news.google.com/rss/articles/CBMi4AJBVV95cUxNR2RrTVkwWjF4UEc5Z01WZF9JZUFOd3BvMUs2RmoyWGxyaDhnTThSMnY2YlJyZWJaRnF0TmVCTk9wOFdlMW5DZHNCcE1ELTdhQUxUcG5IR0tsai1wYU1aaEY1LTR3WjNjVGlqWmdiSFUzREkwLU5jMjJaVGU3UFpmMmhaMk5mLVlLZG9LTEdjVVlkYmZxVFFKbjh3bUptWmhleTI1bW9FRUphQ0JTcE1UNEJXNGJHSjNVcWRFdzVaQWNXRUJqNWU1QUdBeDM1eG5weExKM05Ga3ZaaUZFNkxzXzNGUWNtUkprZlNVNGhaTjR3c05xeWJnQ0ZseHZ5UGRDMnhaalRWUW1Ha3lxVk1uUWFfU3VaSVMxVlVkWU9PX2JUU3c0YW1Ob2tVdHcwU0lLNVJhQ2Q2eGZWVENEeVdlckgtdTFNTkh0Vy1MMDZ0d055em9ZVUdUQTkxRzRvdnBq?oc=5,2025-10-17 13:07:02+00:00,"Apple M5 chip smashes Snapdragon X2 Elite in early single-thread benchmarks — single core scores rival Intel's Core Ultra 9 285K and beat AMD's 9950X3D, teasing multi-core potential of future variants&nbsp;&nbsp;Tom's Hardware","Apple M5 chip smashes Snapdragon X2 Elite in early single-thread benchmarks — single core scores rival Intel's Core Ultra 9 285K and beat AMD's 9950X3D, teasing multi-core potential of future variants - Tom's Hardware. Apple M5 chip smashes Snapdragon X2 Elite in early single-thread benchmarks — single core scores rival Intel's Core Ultra 9 285K and beat AMD's 9950X3D, teasing multi-core potential of future variants&nbsp;&nbsp;Tom's Hardware",[],IRL,negative,niche,0.0
Intel Introducing Microcode Staging Feature For Linux 6.19 To Cope With Bigger Blobs - Phoronix,Phoronix,https://news.google.com/rss/articles/CBMia0FVX3lxTE1CdXJPX2NGbHh0UWFHeVVVSUpVQ3VKQlpmeC1CVDNmQWk4OFhBaEk2M0M1b0QtR3ljd2xpZDJhTmNIWnMtNGZqT0tYYnJjOVFrdGR4eDlYREhWNFBDTlNnd0pObEZ4cTV2VmR3?oc=5,2025-10-17 16:08:00+00:00,Intel Introducing Microcode Staging Feature For Linux 6.19 To Cope With Bigger Blobs&nbsp;&nbsp;Phoronix,Intel Introducing Microcode Staging Feature For Linux 6.19 To Cope With Bigger Blobs - Phoronix. Intel Introducing Microcode Staging Feature For Linux 6.19 To Cope With Bigger Blobs&nbsp;&nbsp;Phoronix,[],IRL,neutral,niche,0.0
"Israel shared intel on location of hostages’ bodies with mediators, official says - The Times of Israel",The Times of Israel,https://news.google.com/rss/articles/CBMirwFBVV95cUxQZXZ3VGlQZ3V5VXdwTldyZWJsWjE1c1luQTFVQ09uOXZkMDVSMXZ3TU9DT3gzXzJfMXZlamktOEV1T1dDSUc4c0h4YjhtTUo1ZUtVVEJYT01TNVllN0RvX0RXYWxWdVFxc05rQnItSk5lbXdIZXF3MnlGZ3g2VGdQXzN1OFI2TF95VG9ISXM3c3k4c3YzcmdDYm4yRHFnLVNpRFppR2RCc1lnRTNyTnVj0gG0AUFVX3lxTE1sWHJJUWhOWDEtbURXZ0trWXVhNk1va3I0MGlNenhrclVhYWtQdE1YZGJCWmdMbWM0WjNBQlkweF9yWXZrY3JibjQ3SEpHUXJ0aWw2S1dnWUQyTXc1Y2prZk5UcGxOaU1Bd0hVbVdWT3RaSWdmM0ZHN2Q2U01IcTQ2MkZWZmRnTFVYNjBTcmVPZGZQeTlKQjUxRDJWUUE4TVdjaldLVVBPV0Z3emJHd21QUXpxWg?oc=5,2025-10-16 19:03:00+00:00,"Israel shared intel on location of hostages’ bodies with mediators, official says&nbsp;&nbsp;The Times of Israel","Israel shared intel on location of hostages’ bodies with mediators, official says - The Times of Israel. Israel shared intel on location of hostages’ bodies with mediators, official says&nbsp;&nbsp;The Times of Israel",[],IRL,positive,niche,0.0
e& UAE and Intel Join Forces to Build AI Centre of Excellence for Edge Innovation - TechAfrica News,TechAfrica News,https://news.google.com/rss/articles/CBMiuwFBVV95cUxPZEFaTldfQVRGVDg4Z1VkMU9JSnd2eDRCRjRBclZIWDRMRGt0em03R3Z6QVFBNE94R3hlTXhkZFV2Q2V6anlOM3RFT2Rqam9IaVVMcEg1N3Y0NUQ3T0xrWFMwZWJTVWp1LXhrZzZwcDduakxsTUNoZm9CN0NOMXNMZFlkQ3VtM2hjcDEyaGdib3lDR0Qxa2hIaUxsSnBXMGdyX1MtRlZ2ZUFJcGtZLTJGY1dJaWE4Tzh3NXM4?oc=5,2025-10-17 08:20:56+00:00,e& UAE and Intel Join Forces to Build AI Centre of Excellence for Edge Innovation&nbsp;&nbsp;TechAfrica News,e& UAE and Intel Join Forces to Build AI Centre of Excellence for Edge Innovation - TechAfrica News. e& UAE and Intel Join Forces to Build AI Centre of Excellence for Edge Innovation&nbsp;&nbsp;TechAfrica News,[],IRL,positive,niche,0.0
"Microchip factory in Netherlands caught in tussle between Europe, China and US - RFI",RFI,https://news.google.com/rss/articles/CBMiwwFBVV95cUxPMmhzOUttQ2JpdmdzTHV6M0pjVnpSakdGWXA2R0h6RTd6cUdYRXk0dmNEa2d3WmRLNW41dHlCT29qdlpMQ1RqQ2EtQUV4OE5Dd1ZsSVFMc3BBZXppVzVMcHljTVVJTUprNHZEcU5RdjBvQ2tVQkhnQ3VpUU5BcGFmTTFyeWd0am1GQnozVDZ3eVJPYlhJOGlzLXRTTkdyNTd6RmUwX3E3eHpMdHViTkNQNWdZS1U1b3RoWnlVOGVOX1J1Szg?oc=5,2025-10-17 15:27:36+00:00,"Microchip factory in Netherlands caught in tussle between Europe, China and US&nbsp;&nbsp;RFI","Microchip factory in Netherlands caught in tussle between Europe, China and US - RFI. Microchip factory in Netherlands caught in tussle between Europe, China and US&nbsp;&nbsp;RFI",[],NLD,neutral,niche,0.0
Intel Vulkan Driver Adds Support For Xe Driver's Low Latency Hint - Phoronix,Phoronix,https://news.google.com/rss/articles/CBMia0FVX3lxTE1rQi1iVndBM2RKZFhLYWR2OG13Z01OQ19wSEJlTGM1RjJnQ1RiV2E4UXZJYlZsbkpIeTVKNjRqTWlXY0hhbS1yZnVYVXdJUWxGTlo2ZW9CbndyRzZ1clBwMXBQeFVmd05EczNr?oc=5,2025-10-17 10:16:00+00:00,Intel Vulkan Driver Adds Support For Xe Driver's Low Latency Hint&nbsp;&nbsp;Phoronix,Intel Vulkan Driver Adds Support For Xe Driver's Low Latency Hint - Phoronix. Intel Vulkan Driver Adds Support For Xe Driver's Low Latency Hint&nbsp;&nbsp;Phoronix,['logistics'],IRL,positive,niche,37.67923601823528
INTC: Intel Stock Rises After Unveiling New AI Chip To Challenge AMD - Yahoo Finance,Yahoo Finance,https://news.google.com/rss/articles/CBMihAFBVV95cUxOSFZvLVNsTHg3bWp6SUxaVWJNQ2lFQXV0Q2xfV3pkYUIzUy1jTWxCR3NvcGZGOUtBaV9qbEtfdl9WWk9YWWt6R3VKbVJhcmJwNTJOUm0xM1FRSGpWbi1GdGY4ZzFueVB2b3dPbFZ6MUpuQWZHa2xRU0ViM3U1X1ozbzFwVUo?oc=5,2025-10-15 17:55:27+00:00,INTC: Intel Stock Rises After Unveiling New AI Chip To Challenge AMD&nbsp;&nbsp;Yahoo Finance,INTC: Intel Stock Rises After Unveiling New AI Chip To Challenge AMD - Yahoo Finance. INTC: Intel Stock Rises After Unveiling New AI Chip To Challenge AMD&nbsp;&nbsp;Yahoo Finance,[],IRL,positive,niche,0.0
Apple announces new M5 chip with double the per-core performance of the M1 and it's got me wondering why AMD and Intel can't keep up with Apple's single-core performance gains - PC Gamer,PC Gamer,https://news.google.com/rss/articles/CBMivgJBVV95cUxPN3dlUkZqT2Jma25sd3ZVSmVkZmZfYjRnbUx0YlBYQjlGcmNuYnJrQ1B2T2kxRTU5RzMzZ2s2aXFHSUtpdDZaSTl2M2w4bkVraW5NUkdLRkdubFFMNDcyb2tRdFB2cktJX01UYkNDbUNCYkhuZndlZGpfUG9RTzc5V2QwZ0xXUnBxTXl0cDZmOWNEX3ZjSjJGQ1kzZExvUVNrTG1BV213NW9vQV96ZVI4T1VYU0pNTGhJTkcyUnNIajRzMjVvanVQTkJtZnZaWEduVmJpaFRGWURtcjFpVnJGYnZndHduMF80NUV1ZDJ0U1VELTJ6dmc3NjdWS2FzVURCc0dlSmFaTUtnVk82NGxvQV8waG9XdklqMmNGcV9KLThtOXl4dWJvT1haOXZyMzlpcGRQUXJZZTAzR3ZJQ1E?oc=5,2025-10-16 13:27:34+00:00,Apple announces new M5 chip with double the per-core performance of the M1 and it's got me wondering why AMD and Intel can't keep up with Apple's single-core performance gains&nbsp;&nbsp;PC Gamer,Apple announces new M5 chip with double the per-core performance of the M1 and it's got me wondering why AMD and Intel can't keep up with Apple's single-core performance gains - PC Gamer. Apple announces new M5 chip with double the per-core performance of the M1 and it's got me wondering why AMD and Intel can't keep up with Apple's single-core performance gains&nbsp;&nbsp;PC Gamer,[],IRL,positive,niche,0.0
Intel Arc B580 drops below £200 in UK for the first time - VideoCardz.com,VideoCardz.com,https://news.google.com/rss/articles/CBMiiwFBVV95cUxOSnljUmtYb2I5ODNQX1hhMmtxTnpjNHlUNFBsMFhLTkJ6S0ZvZnRuRHJ4Y3JJdlkwMG51S2VfeXVYQ3V5YjlHZ3hnV2VtcnowMUVTYXA4VWxENzdnVFRpYUo0TG55NUFCQzI4UkdfOVpET1FsYUsyM2RIRmJrTThiWnNlX0xpaWNDODdR?oc=5,2025-10-17 08:20:00+00:00,Intel Arc B580 drops below £200 in UK for the first time&nbsp;&nbsp;VideoCardz.com,Intel Arc B580 drops below £200 in UK for the first time - VideoCardz.com. Intel Arc B580 drops below £200 in UK for the first time&nbsp;&nbsp;VideoCardz.com,[],IRL,neutral,niche,0.0
"Nvidia, AMD, Intel: If the AI bubble is bursting, then someone forgot to tell Taiwan - Proactive Investors",Proactive Investors,https://news.google.com/rss/articles/CBMi6AFBVV95cUxNMTRSZTRSYmd4M2I4UHdHSkFqUFdBYmJxblhpYzF3SWZudnRNanFCRHMxeTRQVkxhNlRsVXV1Q18zZXRVdmhpNDI0LXYwWDJVeDFxaVYyaGxmeDJReHhPSFpzTndkMHU2ZHQ2aUhfa1E0SVdpUGE4RG1IOU84ZEJrUFM1ejdQRlowdHV3cnNqYV9MNmV3RkxKbkdNYUpaSndhQXEyMnZVc2dFNkZ3bzZHVmdRbnRTNUl4dmNmcjBpMFlUQ0s2Qm9qUzRaMkZZZFF5d3lSV0gyM2hRaGFxbzZiVXRjS2V1Vnl0?oc=5,2025-10-16 12:36:00+00:00,"Nvidia, AMD, Intel: If the AI bubble is bursting, then someone forgot to tell Taiwan&nbsp;&nbsp;Proactive Investors","Nvidia, AMD, Intel: If the AI bubble is bursting, then someone forgot to tell Taiwan - Proactive Investors. Nvidia, AMD, Intel: If the AI bubble is bursting, then someone forgot to tell Taiwan&nbsp;&nbsp;Proactive Investors",[],IRL,positive,niche,0.0
New Linux Kernel Patches From Intel Delivering +18% Database Performance - Phoronix,Phoronix,https://news.google.com/rss/articles/CBMiY0FVX3lxTFBrbWg5bW5YS2pjSWZzblIyaHRfT2NhbVJ5eWZFUV9HaEJ2OVZiM3MzNjFHZmRlQ1FUUnRHZ0ZDZ1JFc2VtR1huZ2FjQk40Um44T2F6NFdSd05kdC1DdkpjZk1EZw?oc=5,2025-10-17 10:45:00+00:00,New Linux Kernel Patches From Intel Delivering +18% Database Performance&nbsp;&nbsp;Phoronix,New Linux Kernel Patches From Intel Delivering +18% Database Performance - Phoronix. New Linux Kernel Patches From Intel Delivering +18% Database Performance&nbsp;&nbsp;Phoronix,[],IRL,neutral,niche,0.0
"What AMD, Oracle, Nvidia, and Intel Shareholders Should Know About the Recent Flood of AI Updates - Nasdaq",Nasdaq,https://news.google.com/rss/articles/CBMiuwFBVV95cUxOQTBNb1h2eFhud3BuaFFDdC1WUVMyWlBUaHFkdzJpZmpzaHlSOTZQcEV3RkJGNG4zXzZlZlRFSkpsZkdOS2NNVERMRFd2WFJEdE5YQTZUcFlYT3FOTTBsbWhxODRTeFNZWjJTT21qTVpuVGk3RExJYS1uUmxabW1LNl82MnBwUDFRbk1wR3pVZ195TjJIWFI0RGl0VDU0aldPRWtMcnRmTE1sd0RmUkNycmpmVzllOEFsOWZN?oc=5,2025-10-17 10:00:00+00:00,"What AMD, Oracle, Nvidia, and Intel Shareholders Should Know About the Recent Flood of AI Updates&nbsp;&nbsp;Nasdaq","What AMD, Oracle, Nvidia, and Intel Shareholders Should Know About the Recent Flood of AI Updates - Nasdaq. What AMD, Oracle, Nvidia, and Intel Shareholders Should Know About the Recent Flood of AI Updates&nbsp;&nbsp;Nasdaq",['weather'],IRL,neutral,niche,37.801281339563936
Intel stock ticks up on reports of major AI client for 18A process - Investing.com,Investing.com,https://news.google.com/rss/articles/CBMixwFBVV95cUxOSWpJWnN4am5RU09nSGl0UzlMNDVLS2NwZFdyMWpKa3REWGRQTlRmeXpsNWpicGtZbVNLRVJBN0FEU2RJMVAxczNHOVlPTERSd1d4ZFZTM2d3bkktZ3ZacDJBY0NfUXItZFhrRF9oZEdNSXZXWkZmRnZwUTJVdFoxOE9qTmFLajNCbnJEWjYyazhXMGtNaHBkTVdYN0gzUHlqU0VObGxnc3AxNzhQREtlQkVrRmUzSFctLWJqMnI1cG9QTzI4ckhj?oc=5,2025-10-17 15:25:06+00:00,Intel stock ticks up on reports of major AI client for 18A process&nbsp;&nbsp;Investing.com,Intel stock ticks up on reports of major AI client for 18A process - Investing.com. Intel stock ticks up on reports of major AI client for 18A process&nbsp;&nbsp;Investing.com,['logistics'],IRL,neutral,niche,48.95094863016706
Getac readies rugged laptops powered by AMD Krackan Point and Intel Lunar Lake CPUs - Notebookcheck,Notebookcheck,https://news.google.com/rss/articles/CBMixwFBVV95cUxQaVJ2TTBaSnB5VnY0TzZnSHV4Rm9XMzRlMGRnUXFKRER4dnN1RERzS3hObm5MUjhkY2kyZ3pUYlBiQWE0UHczT0RKRzN0emFYaXRUQUVrU1ZOd0pYOXBWTjJaREptLWNqMEV6ajFDcllkMFVXTmtKeVRQWUg3bWVPd2RONHNqUGNvUzFWR3Q1UmJINjN3cGc4TXp0VFp1UTZCOXF2UWpTbmpTdWdsUTBDNHhQdndJNUZJcDdIeUpJRklicEtPSWhJ?oc=5,2025-10-17 12:54:00+00:00,Getac readies rugged laptops powered by AMD Krackan Point and Intel Lunar Lake CPUs&nbsp;&nbsp;Notebookcheck,Getac readies rugged laptops powered by AMD Krackan Point and Intel Lunar Lake CPUs - Notebookcheck. Getac readies rugged laptops powered by AMD Krackan Point and Intel Lunar Lake CPUs&nbsp;&nbsp;Notebookcheck,[],IRL,neutral,niche,0.0
Sleek mini PC with customizable display gets Intel Twin Lake-powered processor bump - Notebookcheck,Notebookcheck,https://news.google.com/rss/articles/CBMixwFBVV95cUxObkg2WS1PbFV6bTN1dW54S0lwWU9XWmM5dFRJOTctOFFGVEc5VGZ5NThFdXJNM0UzeERHWXh4aV92dkdpUy1SakgxT2I0WHpKT3NDemVBYWx1eEdERmQwMmdkUV9PemlwY0xwdzU0c2xDOW9MUGVCT0ZoNGQzLUgzT1habTRXaWFMOXFMaGg1UmhXck41WGxsaXRQTGZNTnJmeDlpUkRacXljdDM4UzBoelJDeTNSSFR1aUVmWkllbmVKU1B5NFVn?oc=5,2025-10-17 13:08:00+00:00,Sleek mini PC with customizable display gets Intel Twin Lake-powered processor bump&nbsp;&nbsp;Notebookcheck,Sleek mini PC with customizable display gets Intel Twin Lake-powered processor bump - Notebookcheck. Sleek mini PC with customizable display gets Intel Twin Lake-powered processor bump&nbsp;&nbsp;Notebookcheck,[],IRL,neutral,niche,0.0
