title,source,link,published_dt,summary_clean
Carmakers gear up for chip battle after China curbs Nexperia exports - Financial Times,Financial Times,https://news.google.com/rss/articles/CBMicEFVX3lxTE9pbVhKSTFzMU5NZzlVRG1zZmJieXloSFNKMUtJMk53UEl4RlFkalJnZGh5anMyU1NRQndsS0IyQmVCSFZ0bTNWbk9RcUJBdUp5YklBMnlrTUZOUmtYb01ZandGWjlUVmpHN2FURi01bm4?oc=5,2025-10-17 13:04:47,Carmakers gear up for chip battle after China curbs Nexperia exports&nbsp;&nbsp;Financial Times
TSMC raises revenue forecast on bullish outlook for AI megatrend - Reuters,Reuters,https://news.google.com/rss/articles/CBMiqgFBVV95cUxPaFpqYnhsVzlQbC1zR0NKcEFrbEdFdWRqbXJoZUdBeEtWRzVXQU5SYmFCRTh6T2dQaG5CMFJkUXNtclZMTFU4NnJnQVFPRkN2cnhsckV1Q0Q5TmZKdllIb2xqQWo2Um5GMzJOVDl4QVluRnMtSjNzZk9xZkFGYk5pNWJ1UWowajBSaXlieHdncVlKQ2YxdTRLR3dBOVJRc3FLcUJaa3A0bFlidw?oc=5,2025-10-16 15:00:28,TSMC raises revenue forecast on bullish outlook for AI megatrend&nbsp;&nbsp;Reuters
"Earnings live: TSMC profit surges, CSX and Interactive Brokers Q3 results beat estimates - Yahoo Finance",Yahoo Finance,https://news.google.com/rss/articles/CBMi0wFBVV95cUxPWUFleXVPSG8tX3hkbkhpNmRqb1NXNklud2M5QndVdWZaam1NSHFmcE1kSFJkZXN5UmtqYmo5QW9xZUpteXlWVzZRdmNKbzFoRHpTWjdOWlJUNVJpT3hYSzYtN2JqT2R3U2RmRms0eTluM2htTWptRGZiNm9XVlRZdEFQMGtmSTA1R0JQRWhGYmtfc3dhRjRod1d1QjFSSkNDY3VHSlZwenBMX2xYWHR6TGN4SDJBbjdRcXRpaWRZR1hydTV6TXpRbEZMOWpLR091OUxZ?oc=5,2025-10-17 12:06:03,"Earnings live: TSMC profit surges, CSX and Interactive Brokers Q3 results beat estimates&nbsp;&nbsp;Yahoo Finance"
Loch Lomond Group opens Scottish gin distillery - Global Drinks Intel,Global Drinks Intel,https://news.google.com/rss/articles/CBMiiAFBVV95cUxPc19OWnZlNGh3bFdBQXZkTHVTNnRFMmRVc3ZyNjlFLTNEOTRNakswbElmSmVrXy03OHc0ZGloc1ozWjZJQzJYZVFEdkNEWWZMMUlDNlFodExRMGRSaTNZVW1DNGUtekpVSHFFSVZNZDRIYWx4QmYtSS00djJPd3d5ejd1VnlUMTdx?oc=5,2025-10-17 12:27:00,Loch Lomond Group opens Scottish gin distillery&nbsp;&nbsp;Global Drinks Intel
Intel Foundry Reportedly Secures 18A Order from Microsoft for Maia 2 Accelerator - TechPowerUp,TechPowerUp,https://news.google.com/rss/articles/CBMitgFBVV95cUxNV1RaUXBoUGlkRGZ4R01zczlyTWh0TDdacHpxZXJ0WjktTFFOV2t3aThtSi01Q0lsYTBGZEJTVmRFelhGQUhxOUZLY2RFSHpJNERoNFpvTmlOLThGSkFNSjUzN0lmSFQ2d21TSm5udFVBVXpnQkxPWmVONzRvYldtbk9sRURpLXhfQ3ZvTGNOVVJzLXNvRS1XVFQySFJyQ1Rzd2o1enVGNkxrMGFzOGh1NVA1Q1gwZ9IBuwFBVV95cUxQWFg1Vmdld1A0NjV5cU9ITWNUcDk4b1gwbjNNUU9JSE83WVhnU1lsLXloUGE5UTR6Nm0xbkh5MVA2R2hyQ3RwajM2ME5GY0hNUE1MZmVyRTNCaWxrZlYyWkVxUngweHBRbXJsbEdETlZEV1BvRDdTeFFES1h3TVB1R3F6Y0tFZm9wakNVRUtUbUJ5N19HcER4dVJHejZFZ2hUTDRSdmQzemFTYWhSTUdGY1lPNU5KWkZjaFBr?oc=5,2025-10-17 15:00:06,Intel Foundry Reportedly Secures 18A Order from Microsoft for Maia 2 Accelerator&nbsp;&nbsp;TechPowerUp
"Apple M5 Chip Breaks Records with 4,263 Geekbench Score - Gadget Hacks",Gadget Hacks,https://news.google.com/rss/articles/CBMilAFBVV95cUxQekZNdWp0b3kzUVlRbWlMeTVrdnJzcE1CNHZ0cHFDdk9Gc0dTMElxSVlWek1odVhjclhQTWpCUWZpVVdqV2wxQm1GbW1YNEx1SnFPOEVLaE9sWFJtVE1pUGZDTnZYMWpMVGp0LWU3MUo4RWJKQVNJaDdkOWhza3hXY0xwNm5VejVrTlIyLWpWWFJBc2xR?oc=5,2025-10-17 15:10:44,"Apple M5 Chip Breaks Records with 4,263 Geekbench Score&nbsp;&nbsp;Gadget Hacks"
TSMC Shrugs Off Shrinking Chinese Market Share - The Daily Upside,The Daily Upside,https://news.google.com/rss/articles/CBMipwFBVV95cUxQX3JiUkJzVm1GSmZILUlzcjRianowSk03LUloRkExWXlOVWc4RTJwb083NFJiblljNmxWWVlmMS1XTkZfbFkwLXh4RVBDQUsxeU5mTVNveTdSUE1SSFpQNmw5VGdSZVpuSVFBYjFYa1dRYjNDNGF1cDl0SWpFRWRvUHRhczFzeDBTc1l4S3VXRXZta0FBblZ5RWkwZkxrWmVnd1cxWnRDOA?oc=5,2025-10-17 10:30:43,TSMC Shrugs Off Shrinking Chinese Market Share&nbsp;&nbsp;The Daily Upside
Taiwan Semiconductor Smashes Q3 Earnings Target. But Stock Retreats. - Investor's Business Daily,Investor's Business Daily,https://news.google.com/rss/articles/CBMilAFBVV95cUxOSzh0SzJfMTRoT1l1MzhKdElyd0R0dFlfZWwzdWJJNHVlU3NOOVMxUTFZQm9rd19oVFltME1mNWZMN0ZHeDhBZklBZXVzNWoyRnNJbkhFMFZNZGN3U0xzYy1oVDRuTU5jbGF6NzNsdHkxYlowSy01R1ZqM055TXdHVHBVblI4dF9ZcWRZY1YwTXVjSmsx?oc=5,2025-10-16 20:36:00,Taiwan Semiconductor Smashes Q3 Earnings Target. But Stock Retreats.&nbsp;&nbsp;Investor's Business Daily
TSMC Raises Outlook in Vote of Confidence for AI ‘Megatrend’ - Bloomberg.com,Bloomberg.com,https://news.google.com/rss/articles/CBMitgFBVV95cUxQbVJrck9JZGR0b2d1WDVucGN3enBFcnpvX19pWV9SaVc0ekxRcFc1NWQtUlBoREdUbnNQbF80a1hyXzBhbDlHVjh1cWpseG9CVVdxVWZnTndNcWs4ZW1pNmw2cDJWUWVWcWF3WVZpNnAzbzJndTJ4TGtTS3F3NVVOTnROQWJOejRHcmxySlM0X29GRXNhQ2hTQmNEZG4wal94X0gwS0FSNUtZMnIxaXBkRWZGNlQwdw?oc=5,2025-10-16 08:29:41,TSMC Raises Outlook in Vote of Confidence for AI ‘Megatrend’&nbsp;&nbsp;Bloomberg.com
5th Haywards Heath Cubs crown Sam’s Fish Bar Restaurant 'Haywards Heath Chip Champions!' - SussexWorld,SussexWorld,https://news.google.com/rss/articles/CBMizwFBVV95cUxNYnJucXdfRm9XRlNBQmZrcGlJV0FRejR2RHFiYlk5dDN6OG5mb0tPLWQ0bmlXV28zbE9xQ0RTdlg1bjBwN1VnX0ZnSFVvaFV3YU5uUm1TeWFocmFkeGtrazAweWdvcGZ2akNMenpCUEtuNGRnVmNaclhlU0hHczNyYmxFUHdSei1TTEVoQmNwcEJMRVVtUkR3UFk3SjRCWFl6ejE3UUpzbUhONUQ3bl9wU2tDWjYyMVczZkFpOEVRRWlKWi1iUVpoQmN6RnNiTUU?oc=5,2025-10-17 11:26:00,5th Haywards Heath Cubs crown Sam’s Fish Bar Restaurant 'Haywards Heath Chip Champions!'&nbsp;&nbsp;SussexWorld
40 best fish and chip shops in the UK mapped - full list shows exactly which is closest to you - The Mirror,The Mirror,https://news.google.com/rss/articles/CBMiekFVX3lxTE1VcElqc3ZoZ0MxWi1nUjlhVUx1LTVsdVBvRW5OUDZKemlhd2UzOEg1WFM2cklQYzBZcUFjdmhDMkJBS29GWXpFY2NRUzV1QTc3NDlhMDZmZUpkMEg3VnEzWUxBcnItZGFwbjJMZU1acXU4dlo5enBTbVpR0gF_QVVfeXFMTXBKa01zUFZuX21ZbDMxd25MVEVzMUZqYmJrMmZLT0J4Tlo0YTM2NktDTVc2M292Y2FzT3k3aGJvSWkyS0JpSjZEVmxVTzlybVlCX2RWWmdSYk5ISXBvVUliaVVXM01xRWg2MXlTLWdFQTdNcW9GcDYxT1ZwSEFaVQ?oc=5,2025-10-17 10:56:00,40 best fish and chip shops in the UK mapped - full list shows exactly which is closest to you&nbsp;&nbsp;The Mirror
RAF's Rivet Joint gathers intel along Russian border and lets Moscow know we're watching you - Forces News,Forces News,https://news.google.com/rss/articles/CBMixAFBVV95cUxNZEZ6cnlVSmRkQ2xTYnQtV0p2YzRXekdzRnMxb005aWRpT3E5QTFGYTBrbXRibUV0TkFhOUV6MjFKT0JCd183aHVoQUs4bGRHVVFIWFR2QmVZeWdYUUtFWG1WNDNLVndhOFNGV3RRUXpoUW5wTHl1dXktZ0dEdDhPd1g1WTdMbE1GcHNJQVlxVGVTUW9DTHlwM1NkRjYzOGdpT2tSRU9WY0drUmU2VkFuNi1mTjl6Z2J5a2hBRGdyc3lVdWI4?oc=5,2025-10-17 07:55:19,RAF's Rivet Joint gathers intel along Russian border and lets Moscow know we're watching you&nbsp;&nbsp;Forces News
Semiconductor 'brain' combines transformer's intelligence and Mamba's efficiency - Tech Xplore,Tech Xplore,https://news.google.com/rss/articles/CBMikgFBVV95cUxONkExN0xhMnMyUjlZSncyZlhIVElSaExXVnpjczFBelMzUVQ1Szk3c0RTaVFCUU1vdXFLSXdWUTNtQWk2aUxVMGszVzFPLXAxMEp5Nzd3QVdjdzE1blFPQmRSNXpMemJab0RTUWlFWmthSEhWd3JjN0tHQnI5SnZWdjYxcTJldUliejg2UVFYUjcxQQ?oc=5,2025-10-17 15:39:03,Semiconductor 'brain' combines transformer's intelligence and Mamba's efficiency&nbsp;&nbsp;Tech Xplore
Tumor-on-chip models of CAR-T cell therapy - Nature,Nature,https://news.google.com/rss/articles/CBMiX0FVX3lxTE1Jd0ZJc2g3Rm16dGRaZ3BkNmpSZl9NQmFIS05pQUxGcDg2SHNQczFGaTROU05PN1FBVFBKZWxqVXF0VTQ1SjFRVl9qMjVpUkYySmViSkdsSC10UFlzajVB?oc=5,2025-10-17 09:21:55,Tumor-on-chip models of CAR-T cell therapy&nbsp;&nbsp;Nature
Micron to pull out of China’s data centre chip market after sales slump - Proactive Investors,Proactive Investors,https://news.google.com/rss/articles/CBMi3AFBVV95cUxPLUtYNjZXblJzMG1Jc0RPZmdQMTNDTmtkWkYxN3dWTld4Y1EzUFV4SC00b0NUSVR5VXNIb3VXU2NacTZxU01FUVN4czJjMUNJaDVaXzBzVDU1ZGN0ZTJacUx3RVM5ckdJWFBTcUxqT1plczNWMUlTVTltYlRPQTVwSlY4aEt5WTN0QnVlcG1FYWFxQmtZR0xnS3l2U1lXR0RkR1NwV3hPb1lRS3h6al8zQ3lLbklVS1pORGROQTZ5aEJqRjJzQ29tVDVEUkUxLW5UX0RUN3FKbmg4ZDFz?oc=5,2025-10-17 07:21:00,Micron to pull out of China’s data centre chip market after sales slump&nbsp;&nbsp;Proactive Investors
Intel’s Q3 Earnings Preview: Doubling Down on Dominance | INTC Stock price - Somos Hermanos -,Somos Hermanos -,https://news.google.com/rss/articles/CBMinAFBVV95cUxQaUFMcDlfYU03aXdMZThISzhLNzAteGJZRUZyTnhtZHdJYnk5enNOM0ViZ3ZsaVNvcnV1R2k1enZKYjlUeGFwbnVwUFhCRkZ1YWVMQi1DSmlQZURFQVhUbkstZURZN3NzUnV2alVJclFkc25GOVhjRjdscVltandjY0RHUmhsZUZReVA5cTM5WHowUGpSQVhFM0JyNlo?oc=5,2025-10-17 13:42:20,Intel’s Q3 Earnings Preview: Doubling Down on Dominance | INTC Stock price&nbsp;&nbsp;Somos Hermanos -
Norfolk Broads fish and chip shop temporarily closed after fire - Yahoo News UK,Yahoo News UK,https://news.google.com/rss/articles/CBMiekFVX3lxTE1JdG1PTkZkTVhLMDlWbjdNTDhhQ210amh0ekxMYVpsRExJYkdRemJGbWFLb1VFTjJudFVmZGFybHVqVEpMY2tWRHpyV3dScUY2cXpCQy1FbDExcHZDblFtUUJPSXNfRTVORS1vR0xFYWgtOEU4dGhNVGNR?oc=5,2025-10-17 15:26:00,Norfolk Broads fish and chip shop temporarily closed after fire&nbsp;&nbsp;Yahoo News UK
"Apple unveils new 14‑inch MacBook Pro powered by the M5 chip, delivering the next big leap in AI for the Mac - Apple",Apple,https://news.google.com/rss/articles/CBMiogFBVV95cUxQUUM1Ri1MVEp1ZzNrNk5kTllRa3c2Q3BWY0pxaUVVdC1UVnJHSnFGZ2lNYndaSkp3bTBKQ3VUdHp0elFUbXZTZ3lpNjg4eHplMktUV29DaXNSVEtyaDg1dXJqbUhKd0dNckxUNVAtOFJTQldoVDI4QU1OeXhUQlZfZWlpRzJfTW4zcC01Zjhrb1dlaFFVVTJNUWd2eWx3Q2hzc3c?oc=5,2025-10-15 13:04:08,"Apple unveils new 14‑inch MacBook Pro powered by the M5 chip, delivering the next big leap in AI for the Mac&nbsp;&nbsp;Apple"
M5 Chip Achieves Impressive Feat in 14-Inch MacBook Pro Speed Test - MacRumors,MacRumors,https://news.google.com/rss/articles/CBMigwFBVV95cUxQZkktUFBBaWpjV2ZaRmd2a3Q5X3U1TUtFNUxubjVpQ1lYSEZmV3FvT1ZUMVVVaU5iYVVaMmVMb245NWt5Yzgyem5oMTVvMkhXQU5Pem1xd3A5Z2JlbjB6dFA5WDFWa1hoXzNvR0JQNXJycjVrb1NWYUYwZ19iRHRvTEpXSQ?oc=5,2025-10-17 14:10:43,M5 Chip Achieves Impressive Feat in 14-Inch MacBook Pro Speed Test&nbsp;&nbsp;MacRumors
Amkor breaks ground on $7bn semiconductor campus in Arizona - Cleanroom Technology,Cleanroom Technology,https://news.google.com/rss/articles/CBMijwFBVV95cUxNWlBKYW9ZM0xzQXQ0NktBQWUzVEppRzUtVkpzNHNRWTlteWhFQXRON2w5My1NMGMxVU95SllGdmdnbEZPeGNEcWxsaEh4bnFiOHEyS3Z0dURvQk1yaUZaTFFSMFpJU1JUazduT0pmdVR5UWt0ZDZpaXd5TVBxY1hVNldWSUJFb2VRbmR0VFFydw?oc=5,2025-10-17 09:50:12,Amkor breaks ground on $7bn semiconductor campus in Arizona&nbsp;&nbsp;Cleanroom Technology
Brazil Slot Intel Report: Week 41 / 2025 - Gaming Intelligence,Gaming Intelligence,https://news.google.com/rss/articles/CBMipAFBVV95cUxPbHlWWXI4U2Q5YXJoT2gtRF9aaDE2aFlpdjNqZkVMUmphWFI2dkJLMDI0cGVDOWtxWnhSVlFMY21tV0wwVTllV2phdWdhakgwek8tUURnOGtubjcyZk43NzZnV09naW9sYlJXa0tlMFBRSko1anFxTkFnV3EtaV84WkpBRUhBQUtjVTJyRnkyQS1TVkJnWEM1dUg3X1FHREVpaGRJQQ?oc=5,2025-10-17 10:58:24,Brazil Slot Intel Report: Week 41 / 2025&nbsp;&nbsp;Gaming Intelligence
